Дата,Склад,Контрагент,Номенклатура,Количество
2018-01-04,1,address_2,product_20,1
2018-01-04,1,address_2,product_21,1
2018-01-04,1,address_3,product_1,0
2018-01-04,1,address_3,product_2,0
2018-01-04,1,address_3,product_6,10
2018-01-04,1,address_3,product_7,1
2018-01-04,1,address_3,product_8,1
2018-01-04,1,address_3,product_9,1
2018-01-04,1,address_3,product_12,2
2018-01-04,1,address_3,product_13,3
2018-01-04,1,address_3,product_18,2
2018-01-04,1,address_3,product_19,2
2018-01-04,1,address_3,product_20,1
2018-01-04,1,address_3,product_21,1
2018-01-04,1,address_4,product_0,0
2018-01-04,1,address_4,product_1,0
2018-01-04,1,address_4,product_2,3
2018-01-04,1,address_4,product_3,0
2018-01-04,1,address_4,product_4,0
2018-01-04,1,address_4,product_5,1
2018-01-04,1,address_4,product_7,1
2018-01-04,1,address_4,product_8,1
2018-01-04,1,address_4,product_15,0
2018-01-04,1,address_5,product_0,0
2018-01-04,1,address_5,product_1,0
2018-01-04,1,address_5,product_2,5
2018-01-04,1,address_5,product_3,5
2018-01-04,1,address_5,product_4,0
2018-01-04,1,address_5,product_5,0
2018-01-04,1,address_5,product_6,5
2018-01-04,1,address_5,product_7,0
2018-01-04,1,address_5,product_8,1
2018-01-04,1,address_5,product_9,1
2018-01-04,1,address_5,product_10,2
2018-01-04,1,address_5,product_11,2
2018-01-04,1,address_5,product_12,2
2018-01-04,1,address_5,product_14,3
2018-01-04,1,address_5,product_15,0
2018-01-04,1,address_5,product_18,2
2018-01-04,1,address_5,product_19,0
2018-01-04,1,address_5,product_20,1
2018-01-04,1,address_5,product_21,1
2018-01-04,1,address_6,product_1,5
2018-01-04,1,address_6,product_2,4
2018-01-04,1,address_6,product_4,0
2018-01-04,1,address_6,product_5,1
2018-01-04,1,address_6,product_7,0
2018-01-04,1,address_6,product_8,0
2018-01-04,1,address_6,product_9,1
2018-01-04,1,address_6,product_10,3
2018-01-04,1,address_6,product_13,5
2018-01-04,1,address_6,product_14,0
2018-01-04,1,address_6,product_22,4
2018-01-04,1,address_6,product_17,3
2018-01-04,1,address_6,product_19,0
2018-01-04,1,address_7,product_0,1
2018-01-04,1,address_7,product_1,2
2018-01-04,1,address_7,product_2,0
2018-01-04,1,address_7,product_3,0
2018-01-04,1,address_7,product_4,1
2018-01-04,1,address_7,product_5,0
2018-01-04,1,address_8,product_1,4
2018-01-04,1,address_8,product_2,4
2018-01-04,1,address_8,product_3,0
2018-01-04,1,address_8,product_4,1
2018-01-04,1,address_8,product_5,1
2018-01-04,1,address_8,product_6,5
2018-01-04,1,address_8,product_9,1
2018-01-04,1,address_8,product_10,1
2018-01-04,1,address_8,product_13,3
2018-01-04,1,address_8,product_22,5
2018-01-04,1,address_8,product_17,0
2018-01-04,1,address_9,product_1,5
2018-01-04,1,address_9,product_2,8
2018-01-04,1,address_9,product_4,2
2018-01-04,1,address_9,product_5,2
2018-01-04,1,address_9,product_6,0
2018-01-04,1,address_9,product_10,3
2018-01-04,1,address_9,product_12,0
2018-01-04,1,address_9,product_13,4
2018-01-04,1,address_9,product_22,0
2018-01-04,1,address_9,product_16,0
2018-01-04,1,address_9,product_17,4
2018-01-04,1,address_9,product_20,2
2018-01-04,1,address_9,product_21,2
2018-01-04,1,address_10,product_0,8
2018-01-04,1,address_10,product_1,8
2018-01-04,1,address_10,product_2,10
2018-01-04,1,address_10,product_3,0
2018-01-04,1,address_10,product_4,1
2018-01-04,1,address_10,product_5,0
2018-01-04,1,address_10,product_6,5
2018-01-04,1,address_10,product_7,0
2018-01-04,1,address_10,product_8,0
2018-01-04,1,address_10,product_22,5
2018-01-04,1,address_10,product_15,1
2018-01-04,1,address_11,product_0,0
2018-01-04,1,address_11,product_1,4
2018-01-04,1,address_11,product_2,4
2018-01-04,1,address_11,product_3,2
2018-01-04,1,address_11,product_4,1
2018-01-04,1,address_11,product_5,1
2018-01-04,1,address_11,product_6,0
2018-01-04,1,address_11,product_9,0
2018-01-04,1,address_11,product_10,2
2018-01-04,1,address_11,product_11,0
2018-01-04,1,address_11,product_14,1
2018-01-04,1,address_11,product_22,0
2018-01-04,1,address_11,product_17,2
2018-01-04,1,address_12,product_0,2
2018-01-04,1,address_12,product_1,2
2018-01-04,1,address_12,product_2,2
2018-01-04,1,address_12,product_3,0
2018-01-04,1,address_13,product_0,5
2018-01-04,1,address_13,product_1,4
2018-01-04,1,address_13,product_2,4
2018-01-04,1,address_13,product_3,3
2018-01-04,1,address_13,product_4,2
2018-01-04,1,address_13,product_5,2
2018-01-04,1,address_14,product_0,4
2018-01-04,1,address_14,product_1,9
2018-01-04,1,address_14,product_2,10
2018-01-04,1,address_14,product_3,5
2018-01-04,1,address_14,product_4,0
2018-01-04,1,address_14,product_5,1
2018-01-04,1,address_14,product_6,5
2018-01-04,1,address_14,product_9,1
2018-01-04,1,address_14,product_10,1
2018-01-04,1,address_14,product_11,0
2018-01-04,1,address_14,product_14,0
2018-01-04,1,address_14,product_15,0
2018-01-04,1,address_14,product_18,0
2018-01-04,1,address_15,product_0,4
2018-01-04,1,address_15,product_1,5
2018-01-04,1,address_15,product_2,5
2018-01-04,1,address_15,product_3,4
2018-01-04,1,address_15,product_4,1
2018-01-04,1,address_15,product_5,0
2018-01-04,1,address_15,product_7,1
2018-01-04,1,address_15,product_8,1
2018-01-04,1,address_15,product_12,2
2018-01-04,1,address_15,product_13,0
2018-01-04,1,address_15,product_14,0
2018-01-04,1,address_15,product_15,0
2018-01-04,1,address_16,product_0,5
2018-01-04,1,address_16,product_1,10
2018-01-04,1,address_16,product_2,10
2018-01-04,1,address_16,product_3,2
2018-01-04,1,address_16,product_4,2
2018-01-04,1,address_16,product_5,2
2018-01-04,1,address_16,product_6,5
2018-01-04,1,address_16,product_13,0
2018-01-04,1,address_16,product_14,0
2018-01-04,1,address_16,product_22,4
2018-01-04,1,address_16,product_17,0
2018-01-04,1,address_16,product_18,2
2018-01-04,1,address_16,product_19,2
2018-01-04,1,address_17,product_0,0
2018-01-04,1,address_17,product_1,4
2018-01-04,1,address_17,product_2,5
2018-01-04,1,address_17,product_3,2
2018-01-04,1,address_17,product_4,0
2018-01-04,1,address_17,product_5,2
2018-01-04,1,address_17,product_6,5
2018-01-04,1,address_17,product_7,1
2018-01-04,1,address_17,product_8,1
2018-01-04,1,address_17,product_14,1
2018-01-04,1,address_17,product_22,0
2018-01-04,1,address_17,product_15,1
2018-01-04,1,address_17,product_16,1
2018-01-04,1,address_17,product_18,2
2018-01-04,1,address_17,product_19,2
2018-01-04,1,address_17,product_20,2
2018-01-04,1,address_17,product_21,2
2018-01-04,1,address_18,product_0,5
2018-01-04,1,address_18,product_1,8
2018-01-04,1,address_18,product_2,9
2018-01-04,1,address_18,product_3,4
2018-01-04,1,address_18,product_4,3
2018-01-04,1,address_18,product_5,0
2018-01-04,1,address_18,product_6,5
2018-01-04,1,address_18,product_7,0
2018-01-04,1,address_18,product_8,1
2018-01-04,1,address_18,product_9,1
2018-01-04,1,address_18,product_11,2
2018-01-04,1,address_18,product_12,0
2018-01-04,1,address_18,product_14,0
2018-01-04,1,address_18,product_15,0
2018-01-04,1,address_18,product_18,0
2018-01-04,1,address_18,product_19,0
2018-01-04,1,address_19,product_1,0
2018-01-04,1,address_19,product_2,0
2018-01-04,1,address_19,product_4,0
2018-01-04,1,address_19,product_5,1
2018-01-04,1,address_19,product_7,1
2018-01-04,1,address_19,product_8,0
2018-01-04,1,address_19,product_9,0
2018-01-04,1,address_19,product_10,0
2018-01-04,1,address_19,product_11,0
2018-01-04,1,address_19,product_12,0
2018-01-04,1,address_19,product_13,0
2018-01-04,1,address_19,product_22,0
2018-01-04,1,address_19,product_15,1
2018-01-04,1,address_19,product_17,2
2018-01-04,1,address_19,product_20,1
2018-01-04,1,address_19,product_21,1
2018-01-04,1,address_20,product_0,3
2018-01-04,1,address_20,product_1,5
2018-01-04,1,address_20,product_2,5
2018-01-04,1,address_20,product_3,3
2018-01-04,1,address_20,product_10,2
2018-01-04,1,address_20,product_11,2
2018-01-04,1,address_20,product_14,2
2018-01-04,1,address_20,product_22,5
2018-01-04,1,address_21,product_0,0
2018-01-04,1,address_21,product_2,0
2018-01-04,1,address_21,product_3,0
2018-01-04,1,address_21,product_4,1
2018-01-04,1,address_21,product_5,1
2018-01-04,1,address_21,product_6,2
2018-01-04,1,address_21,product_7,1
2018-01-04,1,address_21,product_8,1
2018-01-04,1,address_21,product_10,2
2018-01-04,1,address_21,product_14,1
2018-01-04,1,address_21,product_22,3
2018-01-04,1,address_21,product_15,1
2018-01-04,1,address_21,product_17,1
2018-01-04,1,address_21,product_18,1
2018-01-04,1,address_21,product_19,1
2018-01-04,1,address_22,product_0,3
2018-01-04,1,address_22,product_1,7
2018-01-04,1,address_22,product_2,7
2018-01-04,1,address_22,product_3,0
2018-01-04,1,address_22,product_4,0
2018-01-04,1,address_22,product_5,0
2018-01-04,1,address_22,product_6,0
2018-01-04,1,address_22,product_7,0
2018-01-04,1,address_22,product_8,0
2018-01-04,1,address_22,product_10,0
2018-01-04,1,address_22,product_11,0
2018-01-04,1,address_22,product_14,1
2018-01-04,1,address_22,product_22,3
2018-01-04,1,address_22,product_15,0
2018-01-04,1,address_22,product_17,3
2018-01-04,1,address_23,product_0,3
2018-01-04,1,address_23,product_1,5
2018-01-04,1,address_23,product_2,5
2018-01-04,1,address_23,product_3,3
2018-01-04,1,address_23,product_4,2
2018-01-04,1,address_23,product_5,2
2018-01-04,1,address_23,product_6,0
2018-01-04,1,address_23,product_10,0
2018-01-04,1,address_23,product_22,0
2018-01-04,1,address_23,product_17,0
2018-01-04,1,address_23,product_18,2
2018-01-04,1,address_24,product_0,0
2018-01-04,1,address_24,product_1,6
2018-01-04,1,address_24,product_2,4
2018-01-04,1,address_24,product_3,2
2018-01-04,1,address_24,product_22,5
2018-01-04,1,address_25,product_0,2
2018-01-04,1,address_25,product_1,5
2018-01-04,1,address_25,product_2,0
2018-01-04,1,address_25,product_3,2
2018-01-04,1,address_25,product_4,2
2018-01-04,1,address_25,product_5,2
2018-01-04,1,address_25,product_6,5
2018-01-04,1,address_25,product_7,0
2018-01-04,1,address_25,product_8,0
2018-01-04,1,address_25,product_11,1
2018-01-04,1,address_25,product_12,0
2018-01-04,1,address_25,product_13,0
2018-01-04,1,address_25,product_17,2
2018-01-04,1,address_25,product_18,0
2018-01-04,1,address_25,product_19,1
2018-01-04,2,address_26,product_0,2
2018-01-04,2,address_26,product_1,2
2018-01-04,2,address_26,product_2,2
2018-01-04,2,address_26,product_3,2
2018-01-04,2,address_27,product_0,5
2018-01-04,2,address_27,product_1,5
2018-01-04,2,address_27,product_2,5
2018-01-04,2,address_27,product_3,5
2018-01-04,2,address_27,product_4,2
2018-01-04,2,address_27,product_5,2
2018-01-04,2,address_28,product_0,0
2018-01-04,2,address_28,product_1,0
2018-01-04,2,address_28,product_2,0
2018-01-04,2,address_29,product_0,0
2018-01-04,2,address_29,product_1,0
2018-01-04,2,address_29,product_5,0
2018-01-04,2,address_30,product_0,0
2018-01-04,2,address_30,product_1,0
2018-01-04,2,address_30,product_2,0
2018-01-04,2,address_30,product_3,0
2018-01-04,2,address_30,product_4,2
2018-01-04,2,address_30,product_5,0
2018-01-04,2,address_30,product_6,5
2018-01-04,2,address_30,product_10,2
2018-01-04,2,address_30,product_11,1
2018-01-04,2,address_30,product_22,0
2018-01-04,2,address_30,product_17,0
2018-01-04,2,address_31,product_0,0
2018-01-04,2,address_31,product_1,0
2018-01-04,2,address_31,product_2,0
2018-01-04,2,address_31,product_3,0
2018-01-04,2,address_31,product_4,0
2018-01-04,2,address_31,product_5,0
2018-01-04,2,address_31,product_7,1
2018-01-04,2,address_31,product_8,1
2018-01-04,2,address_31,product_10,0
2018-01-04,2,address_31,product_11,0
2018-01-04,2,address_31,product_22,2
2018-01-04,2,address_31,product_17,2
2018-01-04,2,address_31,product_18,0
2018-01-04,2,address_31,product_19,2
2018-01-04,2,address_32,product_0,4
2018-01-04,2,address_32,product_1,4
2018-01-04,2,address_32,product_2,4
2018-01-04,2,address_32,product_3,0
2018-01-04,2,address_32,product_4,2
2018-01-04,2,address_32,product_5,0
2018-01-04,2,address_32,product_6,0
2018-01-04,2,address_32,product_7,0
2018-01-04,2,address_32,product_9,1
2018-01-04,2,address_32,product_10,2
2018-01-04,2,address_32,product_11,1
2018-01-04,2,address_32,product_12,0
2018-01-04,2,address_32,product_13,0
2018-01-04,2,address_32,product_14,2
2018-01-04,2,address_32,product_22,5
2018-01-04,2,address_32,product_17,0
2018-01-04,2,address_32,product_18,2
2018-01-04,2,address_32,product_20,2
2018-01-04,2,address_32,product_21,0
2018-01-04,2,address_33,product_0,0
2018-01-04,2,address_33,product_1,0
2018-01-04,2,address_33,product_2,0
2018-01-04,2,address_33,product_3,0
2018-01-04,2,address_33,product_4,3
2018-01-04,2,address_33,product_5,0
2018-01-04,2,address_33,product_6,0
2018-01-04,2,address_33,product_7,0
2018-01-04,2,address_33,product_8,1
2018-01-04,2,address_33,product_10,2
2018-01-04,2,address_33,product_11,0
2018-01-04,2,address_33,product_22,2
2018-01-04,2,address_33,product_15,2
2018-01-04,2,address_33,product_17,2
2018-01-04,2,address_33,product_18,2
2018-01-04,2,address_33,product_19,2
2018-01-04,2,address_34,product_0,0
2018-01-04,2,address_34,product_1,0
2018-01-04,2,address_34,product_2,0
2018-01-04,2,address_34,product_3,0
2018-01-04,2,address_34,product_4,0
2018-01-04,2,address_34,product_5,0
2018-01-04,2,address_34,product_6,4
2018-01-04,2,address_34,product_8,0
2018-01-04,2,address_34,product_10,2
2018-01-04,2,address_34,product_11,1
2018-01-04,2,address_34,product_13,3
2018-01-04,2,address_34,product_22,2
2018-01-04,2,address_34,product_15,0
2018-01-04,2,address_34,product_17,2
2018-01-04,2,address_34,product_18,2
2018-01-04,2,address_34,product_19,0
2018-01-04,2,address_35,product_0,0
2018-01-04,2,address_35,product_1,4
2018-01-04,2,address_35,product_2,4
2018-01-04,2,address_35,product_3,3
2018-01-04,2,address_35,product_4,2
2018-01-04,2,address_35,product_5,2
2018-01-04,2,address_35,product_10,2
2018-01-04,2,address_35,product_12,2
2018-01-04,2,address_35,product_13,2
2018-01-04,2,address_35,product_14,2
2018-01-04,2,address_35,product_22,3
2018-01-04,2,address_35,product_17,2
2018-01-04,2,address_35,product_18,1
2018-01-04,2,address_35,product_20,1
2018-01-04,2,address_35,product_21,1
2018-01-04,2,address_36,product_0,3
2018-01-04,2,address_36,product_1,3
2018-01-04,2,address_36,product_2,3
2018-01-04,2,address_36,product_3,2
2018-01-04,2,address_36,product_4,2
2018-01-04,2,address_36,product_5,2
2018-01-04,2,address_36,product_13,4
2018-01-04,2,address_37,product_0,12
2018-01-04,2,address_37,product_1,12
2018-01-04,2,address_37,product_2,12
2018-01-04,2,address_37,product_3,0
2018-01-04,2,address_37,product_4,5
2018-01-04,2,address_37,product_5,5
2018-01-04,2,address_37,product_6,10
2018-01-04,2,address_37,product_7,2
2018-01-04,2,address_37,product_8,2
2018-01-04,2,address_37,product_13,5
2018-01-04,2,address_37,product_15,5
2018-01-04,2,address_38,product_0,2
2018-01-04,2,address_38,product_1,2
2018-01-04,2,address_38,product_2,2
2018-01-04,2,address_38,product_3,2
2018-01-04,2,address_39,product_0,2
2018-01-04,2,address_39,product_1,2
2018-01-04,2,address_39,product_2,2
2018-01-04,2,address_40,product_0,2
2018-01-04,2,address_40,product_1,2
2018-01-04,2,address_40,product_2,2
2018-01-04,2,address_41,product_0,2
2018-01-04,2,address_41,product_1,2
2018-01-04,2,address_41,product_2,2
2018-01-04,2,address_42,product_0,5
2018-01-04,2,address_42,product_1,3
2018-01-04,2,address_42,product_2,6
2018-01-04,2,address_43,product_0,5
2018-01-04,2,address_43,product_1,3
2018-01-04,2,address_43,product_2,6
2018-01-04,2,address_44,product_0,2
2018-01-04,2,address_44,product_1,3
2018-01-04,2,address_44,product_2,2
2018-01-04,2,address_45,product_0,2
2018-01-04,2,address_45,product_1,3
2018-01-04,2,address_45,product_2,2
2018-01-04,2,address_46,product_0,2
2018-01-04,2,address_46,product_1,3
2018-01-04,2,address_46,product_2,2
2018-01-04,2,address_47,product_0,2
2018-01-04,2,address_47,product_1,3
2018-01-04,2,address_47,product_2,2
2018-01-04,2,address_48,product_0,2
2018-01-04,2,address_48,product_1,3
2018-01-04,2,address_48,product_2,2
2018-01-04,2,address_49,product_0,2
2018-01-04,2,address_49,product_1,3
2018-01-04,2,address_49,product_2,2
2018-01-04,2,address_50,product_0,2
2018-01-04,2,address_50,product_1,3
2018-01-04,2,address_50,product_2,2
2018-01-04,2,address_51,product_0,2
2018-01-04,2,address_51,product_1,3
2018-01-04,2,address_51,product_2,2
2018-01-04,2,address_52,product_0,2
2018-01-04,2,address_52,product_1,3
2018-01-04,2,address_52,product_2,2
2018-01-04,2,address_53,product_0,2
2018-01-04,2,address_53,product_1,3
2018-01-04,2,address_53,product_2,2
2018-01-04,2,address_54,product_0,3
2018-01-04,2,address_54,product_1,3
2018-01-04,2,address_54,product_2,3
2018-01-04,2,address_54,product_3,3
2018-01-04,2,address_55,product_0,2
2018-01-04,2,address_55,product_1,4
2018-01-04,2,address_55,product_2,4
2018-01-04,2,address_55,product_3,0
2018-01-04,2,address_55,product_4,3
2018-01-04,2,address_55,product_5,3
2018-01-04,2,address_55,product_6,5
2018-01-04,2,address_55,product_7,0
2018-01-04,2,address_55,product_8,2
2018-01-04,2,address_55,product_9,2
2018-01-04,2,address_55,product_10,3
2018-01-04,2,address_55,product_11,2
2018-01-04,2,address_55,product_12,3
2018-01-04,2,address_55,product_13,5
2018-01-04,2,address_55,product_14,2
2018-01-04,2,address_55,product_22,3
2018-01-04,2,address_55,product_15,2
2018-01-04,2,address_55,product_17,3
2018-01-04,2,address_55,product_18,2
2018-01-04,2,address_55,product_19,2
2018-01-04,2,address_55,product_20,1
2018-01-04,2,address_55,product_21,1
2018-01-04,2,address_56,product_0,3
2018-01-04,2,address_56,product_1,3
2018-01-04,2,address_56,product_2,0
2018-01-04,2,address_56,product_3,3
2018-01-04,2,address_56,product_4,2
2018-01-04,2,address_56,product_5,2
2018-01-04,2,address_56,product_7,1
2018-01-04,2,address_56,product_8,1
2018-01-04,2,address_56,product_10,3
2018-01-04,2,address_56,product_11,1
2018-01-04,2,address_56,product_14,1
2018-01-04,2,address_56,product_22,0
2018-01-04,2,address_56,product_15,2
2018-01-04,2,address_56,product_17,3
2018-01-04,2,address_56,product_18,2
2018-01-04,2,address_56,product_19,0
2018-01-04,2,address_57,product_0,3
2018-01-04,2,address_57,product_1,3
2018-01-04,2,address_57,product_2,0
2018-01-04,2,address_57,product_4,2
2018-01-04,2,address_57,product_5,1
2018-01-04,2,address_58,product_0,5
2018-01-04,2,address_58,product_1,5
2018-01-04,2,address_58,product_2,5
2018-01-04,2,address_58,product_3,5
2018-01-04,2,address_58,product_5,3
2018-01-04,2,address_58,product_6,5
2018-01-04,2,address_58,product_7,1
2018-01-04,2,address_58,product_8,2
2018-01-04,2,address_58,product_12,4
2018-01-04,2,address_58,product_13,4
2018-01-04,2,address_58,product_14,1
2018-01-04,2,address_58,product_22,3
2018-01-04,2,address_58,product_17,2
2018-01-04,2,address_59,product_0,0
2018-01-04,2,address_59,product_1,0
2018-01-04,2,address_59,product_2,4
2018-01-04,2,address_59,product_3,4
2018-01-04,2,address_59,product_4,3
2018-01-04,2,address_59,product_5,3
2018-01-04,2,address_59,product_7,0
2018-01-04,2,address_59,product_12,2
2018-01-04,2,address_59,product_13,0
2018-01-04,2,address_59,product_14,0
2018-01-04,2,address_59,product_22,5
2018-01-04,2,address_59,product_17,3
2018-01-04,2,address_59,product_18,1
2018-01-04,2,address_60,product_0,4
2018-01-04,2,address_60,product_1,4
2018-01-04,2,address_60,product_2,4
2018-01-04,2,address_60,product_3,0
2018-01-04,2,address_60,product_4,2
2018-01-04,2,address_60,product_5,3
2018-01-04,2,address_60,product_6,0
2018-01-04,2,address_60,product_7,0
2018-01-04,2,address_60,product_9,2
2018-01-04,2,address_60,product_10,3
2018-01-04,2,address_60,product_11,1
2018-01-04,2,address_60,product_14,2
2018-01-04,2,address_60,product_22,3
2018-01-04,2,address_60,product_17,3
2018-01-04,2,address_60,product_18,2
2018-01-04,2,address_60,product_19,1
2018-01-04,2,address_60,product_20,1
2018-01-04,2,address_60,product_21,1
2018-01-04,2,address_61,product_0,5
2018-01-04,2,address_61,product_1,5
2018-01-04,2,address_61,product_2,5
2018-01-04,2,address_61,product_3,0
2018-01-04,2,address_61,product_4,3
2018-01-04,2,address_61,product_5,3
2018-01-04,2,address_61,product_6,0
2018-01-04,2,address_61,product_7,1
2018-01-04,2,address_61,product_8,1
2018-01-04,2,address_61,product_9,0
2018-01-04,2,address_61,product_10,1
2018-01-04,2,address_61,product_11,1
2018-01-04,2,address_61,product_12,5
2018-01-04,2,address_61,product_13,5
2018-01-04,2,address_61,product_14,0
2018-01-04,2,address_61,product_22,7
2018-01-04,2,address_61,product_15,1
2018-01-04,2,address_61,product_17,5
2018-01-04,2,address_61,product_18,0
2018-01-04,2,address_61,product_20,1
2018-01-04,2,address_61,product_21,1
2018-01-04,2,address_62,product_0,3
2018-01-04,2,address_62,product_1,3
2018-01-04,2,address_62,product_2,3
2018-01-04,2,address_62,product_3,2
2018-01-04,2,address_63,product_0,5
2018-01-04,2,address_63,product_1,5
2018-01-04,2,address_63,product_2,5
2018-01-04,2,address_63,product_3,3
2018-01-04,2,address_63,product_5,2
2018-01-04,2,address_63,product_6,5
2018-01-04,2,address_63,product_10,0
2018-01-04,2,address_63,product_11,2
2018-01-04,2,address_63,product_12,2
2018-01-04,2,address_63,product_13,0
2018-01-04,2,address_63,product_14,0
2018-01-04,2,address_63,product_22,3
2018-01-04,2,address_63,product_17,2
2018-01-04,2,address_64,product_0,4
2018-01-04,2,address_64,product_1,4
2018-01-04,2,address_64,product_2,0
2018-01-04,2,address_64,product_3,3
2018-01-04,2,address_64,product_4,3
2018-01-04,2,address_64,product_5,3
2018-01-04,2,address_64,product_20,2
2018-01-04,2,address_64,product_21,2
2018-01-04,2,address_65,product_0,3
2018-01-04,2,address_65,product_1,3
2018-01-04,2,address_65,product_2,3
2018-01-04,2,address_65,product_3,2
2018-01-04,2,address_66,product_0,5
2018-01-04,2,address_66,product_1,0
2018-01-04,2,address_66,product_2,0
2018-01-04,2,address_66,product_3,0
2018-01-04,2,address_66,product_4,4
2018-01-04,2,address_66,product_5,0
2018-01-04,2,address_66,product_10,2
2018-01-04,2,address_66,product_14,2
2018-01-04,2,address_66,product_22,5
2018-01-04,2,address_67,product_0,5
2018-01-04,2,address_67,product_1,0
2018-01-04,2,address_67,product_2,0
2018-01-04,2,address_67,product_3,3
2018-01-04,2,address_67,product_4,3
2018-01-04,2,address_67,product_5,3
2018-01-04,2,address_67,product_14,0
2018-01-04,2,address_67,product_22,3
2018-01-04,2,address_67,product_17,2
2018-01-04,2,address_68,product_0,3
2018-01-04,2,address_68,product_1,0
2018-01-04,2,address_68,product_2,3
2018-01-04,2,address_68,product_3,4
2018-01-04,2,address_68,product_4,2
2018-01-04,2,address_68,product_5,2
2018-01-04,2,address_68,product_6,5
2018-01-04,2,address_68,product_7,0
2018-01-04,2,address_68,product_8,0
2018-01-04,2,address_68,product_10,1
2018-01-04,2,address_68,product_11,1
2018-01-04,2,address_68,product_22,2
2018-01-04,2,address_68,product_15,0
2018-01-04,2,address_68,product_17,1
2018-01-04,2,address_68,product_18,1
2018-01-04,2,address_68,product_19,1
2018-01-04,2,address_69,product_0,3
2018-01-04,2,address_69,product_1,0
2018-01-04,2,address_69,product_2,3
2018-01-04,2,address_69,product_3,3
2018-01-04,2,address_69,product_4,2
2018-01-04,2,address_69,product_5,2
2018-01-04,2,address_69,product_10,0
2018-01-04,2,address_69,product_11,2
2018-01-04,2,address_69,product_12,0
2018-01-04,2,address_69,product_13,0
2018-01-04,2,address_69,product_14,1
2018-01-04,2,address_69,product_22,2
2018-01-04,2,address_69,product_17,2
2018-01-04,2,address_69,product_18,2
2018-01-04,2,address_69,product_19,2
2018-01-04,2,address_70,product_0,0
2018-01-04,2,address_70,product_1,3
2018-01-04,2,address_70,product_2,3
2018-01-04,2,address_70,product_3,3
2018-01-04,2,address_70,product_4,0
2018-01-04,2,address_70,product_5,0
2018-01-04,2,address_70,product_22,4
2018-01-04,2,address_71,product_0,4
2018-01-04,2,address_71,product_1,0
2018-01-04,2,address_71,product_2,4
2018-01-04,2,address_71,product_3,4
2018-01-04,2,address_71,product_4,0
2018-01-04,2,address_71,product_5,2
2018-01-04,2,address_71,product_6,5
2018-01-04,2,address_71,product_7,0
2018-01-04,2,address_71,product_8,0
2018-01-04,2,address_71,product_10,2
2018-01-04,2,address_71,product_11,1
2018-01-04,2,address_71,product_13,0
2018-01-04,2,address_71,product_22,2
2018-01-04,2,address_71,product_15,0
2018-01-04,2,address_71,product_17,2
2018-01-04,2,address_71,product_18,2
2018-01-04,2,address_71,product_19,1
2018-01-04,2,address_72,product_0,0
2018-01-04,2,address_72,product_1,0
2018-01-04,2,address_72,product_2,0
2018-01-04,2,address_72,product_4,2
2018-01-04,2,address_72,product_5,2
2018-01-04,2,address_72,product_6,5
2018-01-04,2,address_72,product_9,2
2018-01-04,2,address_72,product_10,2
2018-01-04,2,address_72,product_14,2
2018-01-04,2,address_72,product_22,5
2018-01-04,2,address_72,product_17,0
2018-01-04,2,address_73,product_0,3
2018-01-04,2,address_73,product_1,0
2018-01-04,2,address_73,product_2,3
2018-01-04,2,address_73,product_3,0
2018-01-04,2,address_73,product_4,2
